PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_SHORT_NAME,PEOPLE_DEATH_COUNT
278722,9/29/2020,Asia,Indonesia,10473
86521,7/20/2020,Asia,Indonesia,4143
63749,7/6/2020,Asia,Indonesia,3171
14265,5/12/2020,Asia,Indonesia,991
2956,4/9/2020,Asia,Indonesia,240
0,2/9/2020,Asia,Indonesia,0
0,1/10/2020,Asia,Indonesia,0
0,1/13/2020,Asia,Indonesia,0
1124,10/17/2020,Asia,Vietnam,35
240,4/4/2020,Asia,Vietnam,0
288,5/9/2020,Asia,Vietnam,0
349,6/20/2020,Asia,Vietnam,0
590,8/2/2020,Asia,Vietnam,5
373,7/17/2020,Asia,Vietnam,0
1034,8/27/2020,Asia,Vietnam,30
324,5/19/2020,Asia,Vietnam,0
0,1/14/2020,Asia,Vietnam,0
0,12/31/2019,Asia,Vietnam,0
320827,9/7/2020,Asia,Saudi Arabia,4081
335997,10/4/2020,Asia,Saudi Arabia,4850
326930,9/16/2020,Asia,Saudi Arabia,4338
10484,4/21/2020,Asia,Saudi Arabia,103
3651,4/11/2020,Asia,Saudi Arabia,47
127541,6/15/2020,Asia,Saudi Arabia,972
0,1/31/2020,Asia,Saudi Arabia,0
81022,10/29/2020,Asia,Bahrain,317
77325,10/17/2020,Asia,Bahrain,292
13835,6/6/2020,Asia,Bahrain,23
9633,5/28/2020,Asia,Bahrain,15
458,3/27/2020,Asia,Bahrain,4
29367,7/6/2020,Asia,Bahrain,97
45264,8/13/2020,Asia,Bahrain,166
7184,5/19/2020,Asia,Bahrain,12
47,3/3/2020,Asia,Bahrain,0
0,1/24/2020,Asia,Bahrain,0
52526,10/19/2020,Asia,Kyrgyzstan,1111
125,4/3/2020,Asia,Kyrgyzstan,1
45630,9/23/2020,Asia,Kyrgyzstan,1063
38110,8/5/2020,Asia,Kyrgyzstan,1438
33844,7/28/2020,Asia,Kyrgyzstan,1329
769,5/2/2020,Asia,Kyrgyzstan,8
7094,7/4/2020,Asia,Kyrgyzstan,78
2657,6/18/2020,Asia,Kyrgyzstan,31
0,1/27/2020,Asia,Kyrgyzstan,0
0,1/8/2020,Asia,Kyrgyzstan,0
0,1/13/2020,Asia,Kyrgyzstan,0
2,4/12/2020,Asia,Timor Leste,0
24,8/1/2020,Asia,Timor Leste,0
24,7/20/2020,Asia,Timor Leste,0
24,7/1/2020,Asia,Timor Leste,0
24,5/15/2020,Asia,Timor Leste,0
24,6/13/2020,Asia,Timor Leste,0
0,3/5/2020,Asia,Timor Leste,0
0,3/1/2020,Asia,Timor Leste,0
0,3/17/2020,Asia,Timor Leste,0
0,1/17/2020,Asia,Timor Leste,0
0,1/2/2020,Asia,Timor Leste,0
10977,10/31/2020,Asia,Tajikistan,82
7625,8/6/2020,Asia,Tajikistan,61
5035,6/15/2020,Asia,Tajikistan,50
0,4/19/2020,Asia,Tajikistan,0
0,4/7/2020,Asia,Tajikistan,0
0,2/16/2020,Asia,Tajikistan,0
8065,8/17/2020,Asia,Tajikistan,64
57715,9/29/2020,Asia,Singapore,27
17548,5/3/2020,Asia,Singapore,17
27356,5/17/2020,Asia,Singapore,22
5050,4/18/2020,Asia,Singapore,11
102,3/1/2020,Asia,Singapore,0
89,2/24/2020,Asia,Singapore,0
594,3/27/2020,Asia,Singapore,2
24,2/5/2020,Asia,Singapore,0
0,1/16/2020,Asia,Singapore,0
352178,9/23/2020,Asia,Bangladesh,5007
255113,8/9/2020,Asia,Bangladesh,3365
51,4/1/2020,Asia,Bangladesh,5
5,3/17/2020,Asia,Bangladesh,0
3853406,9/3/2020,Asia,India,67376
173763,5/30/2020,Asia,India,4971
67152,5/11/2020,Asia,India,2206
14378,4/18/2020,Asia,India,480
85940,5/16/2020,Asia,India,2752
7432680,10/17/2020,Asia,India,112998
3,2/29/2020,Asia,India,0
3,2/5/2020,Asia,India,0
249651,8/7/2020,Asia,Bangladesh,3306
302832,10/18/2020,Asia,Israel,2190
23421,6/28/2020,Asia,Israel,317
712,3/21/2020,Asia,Israel,1
73025,8/3/2020,Asia,Israel,536
19121,6/15/2020,Asia,Israel,302
21082,6/23/2020,Asia,Israel,307
4247,3/30/2020,Asia,Israel,15
18268,6/10/2020,Asia,Israel,299
0,2/6/2020,Asia,Israel,0
87590,9/9/2020,Asia,Oman,742
15086,6/6/2020,Asia,Oman,72
6794,5/23/2020,Asia,Oman,32
6,3/2/2020,Asia,Oman,0
2131,4/29/2020,Asia,Oman,10
99,3/26/2020,Asia,Oman,0
0,1/30/2020,Asia,Oman,0
0,1/28/2020,Asia,Oman,0
0,2/4/2020,Asia,Oman,0
166,4/6/2020,Asia,Sri Lanka,5
2724,7/20/2020,Asia,Sri Lanka,11
115,3/29/2020,Asia,Sri Lanka,1
1801,6/6/2020,Asia,Sri Lanka,11
869,5/12/2020,Asia,Sri Lanka,9
1,2/24/2020,Asia,Sri Lanka,0
0,1/10/2020,Asia,Sri Lanka,0
332186,10/30/2020,Asia,Pakistan,6795
284121,8/9/2020,Asia,Pakistan,6082
27474,5/9/2020,Asia,Pakistan,618
3864,4/7/2020,Asia,Pakistan,54
259999,7/17/2020,Asia,Pakistan,5475
64028,5/29/2020,Asia,Pakistan,1317
887,3/24/2020,Asia,Pakistan,6
0,2/16/2020,Asia,Pakistan,0
0,1/28/2020,Asia,Pakistan,0
0,2/3/2020,Asia,Pakistan,0
1830,7/4/2020,Asia,Lebanon,35
7711,8/14/2020,Asia,Lebanon,92
8881,8/17/2020,Asia,Lebanon,103
1172,5/30/2020,Asia,Lebanon,26
891,5/16/2020,Asia,Lebanon,26
65577,10/22/2020,Asia,Lebanon,536
1603,6/23/2020,Asia,Lebanon,32
737,5/4/2020,Asia,Lebanon,25
13,3/5/2020,Asia,Lebanon,0
0,2/6/2020,Asia,Lebanon,0
0,1/25/2020,Asia,Lebanon,0
0,2/12/2020,Asia,Oman,0
2037,6/29/2020,Asia,Sri Lanka,11
122214,9/16/2020,Asia,Qatar,208
125084,9/28/2020,Asia,Qatar,214
35606,5/20/2020,Asia,Qatar,15
88403,6/23/2020,Asia,Qatar,99
494,3/23/2020,Asia,Qatar,0
85462,6/20/2020,Asia,Qatar,93
1999,9/10/2020,Asia,Yemen,577
1804,8/10/2020,Asia,Yemen,515
34,5/10/2020,Asia,Yemen,7
1465,7/13/2020,Asia,Yemen,417
486,6/8/2020,Asia,Yemen,112
1831,8/11/2020,Asia,Yemen,518
0,2/10/2020,Asia,Yemen,0
91022,10/21/2020,Asia,China,4739
90505,9/29/2020,Asia,China,4739
84701,6/26/2020,Asia,China,4641
89144,8/14/2020,Asia,China,4700
87985,8/3/2020,Asia,China,4669
89654,8/23/2020,Asia,China,4711
82295,4/1/2020,Asia,China,3310
84063,5/19/2020,Asia,China,4638
83968,5/6/2020,Asia,China,4637
89718,8/25/2020,Asia,China,4711
80134,3/2/2020,Asia,China,2914
78598,2/27/2020,Asia,China,2746
77016,2/23/2020,Asia,China,2445
31207,2/7/2020,Asia,China,637
84816,7/2/2020,Asia,China,4641
85403,7/18/2020,Asia,China,4645
77009,9/17/2020,Asia,Japan,1473
79768,9/23/2020,Asia,Japan,1512
16424,5/21/2020,Asia,Japan,777
3906,4/7/2020,Asia,Japan,80
239,3/1/2020,Asia,Japan,5
29,2/13/2020,Asia,Japan,1
1,1/23/2020,Asia,Japan,0
0,1/1/2020,Asia,Japan,0
37866,9/12/2020,Asia,Palestine,234
29869,9/1/2020,Asia,Palestine,173
41413,9/16/2020,Asia,Palestine,261
43345,9/18/2020,Asia,Palestine,278
45446,9/21/2020,Asia,Palestine,300
56467,10/14/2020,Asia,Palestine,459
39510,9/14/2020,Asia,Palestine,250
548,5/14/2020,Asia,Palestine,4
554,5/17/2020,Asia,Palestine,4
613,5/28/2020,Asia,Palestine,5
547,5/8/2020,Asia,Palestine,4
0,3/3/2020,Asia,Palestine,0
7,3/6/2020,Asia,Palestine,0
145,9/5/2020,Asia,Brunei Darussalam,3
133,4/4/2020,Asia,Brunei Darussalam,1
141,6/13/2020,Asia,Brunei Darussalam,2
141,6/10/2020,Asia,Brunei Darussalam,2
141,5/18/2020,Asia,Brunei Darussalam,1
11,3/12/2020,Asia,Brunei Darussalam,0
0,2/23/2020,Asia,Brunei Darussalam,0
1893,8/30/2020,Asia,Jordan,15
13101,10/2/2020,Asia,Jordan,69
459,5/2/2020,Asia,Jordan,8
471,5/6/2020,Asia,Jordan,9
981,6/17/2020,Asia,Jordan,9
1136,7/3/2020,Asia,Jordan,9
1,3/8/2020,Asia,Jordan,0
1131,7/24/2020,Asia,Jordan,11
0,1/9/2020,Asia,Jordan,0
0,1/7/2020,Asia,Jordan,0
7329,8/28/2020,Asia,Maldives,28
10808,10/10/2020,Asia,Maldives,34
3302,7/27/2020,Asia,Maldives,15
3719,7/31/2020,Asia,Maldives,16
69,4/21/2020,Asia,Maldives,0
10894,10/12/2020,Asia,Maldives,35
13,3/18/2020,Asia,Maldives,0
0,1/16/2020,Asia,Maldives,0
143814,10/13/2020,Asia,Kazakhstan,2116
130673,8/31/2020,Asia,Kazakhstan,1781
144218,10/14/2020,Asia,Kazakhstan,2141
802,4/10/2020,Asia,Kazakhstan,9
193,3/28/2020,Asia,Kazakhstan,0
13074,6/9/2020,Asia,Kazakhstan,58
704,4/8/2020,Asia,Kazakhstan,6
12859,6/8/2020,Asia,Kazakhstan,56
121639,8/17/2020,Asia,Kazakhstan,1487
123325,8/19/2020,Asia,Kazakhstan,1646
13558,6/11/2020,Asia,Kazakhstan,67
0,2/28/2020,Asia,Kazakhstan,0
0,3/6/2020,Asia,Kazakhstan,0
4690,5/8/2020,Asia,Kazakhstan,31
22,9/8/2020,Asia,Laos,0
23,10/14/2020,Asia,Laos,0
10,4/3/2020,Asia,Laos,0
19,4/13/2020,Asia,Laos,0
19,4/24/2020,Asia,Laos,0
20,8/18/2020,Asia,Laos,0
19,4/15/2020,Asia,Laos,0
19,4/22/2020,Asia,Laos,0
19,5/25/2020,Asia,Laos,0
19,5/19/2020,Asia,Laos,0
0,2/27/2020,Asia,Laos,0
0,3/16/2020,Asia,Laos,0
0,1/2/2020,Asia,Laos,0
3736,10/25/2020,Asia,Thailand,59
2954,4/30/2020,Asia,Thailand,54
3320,8/3/2020,Asia,Thailand,58
3151,6/23/2020,Asia,Thailand,58
3141,6/19/2020,Asia,Thailand,58
3963,4/8/2020,Asia,Malaysia,63
5945,4/30/2020,Asia,Malaysia,100
3793,4/7/2020,Asia,Malaysia,62
6941,5/19/2020,Asia,Malaysia,113
6002,5/1/2020,Asia,Malaysia,102
8494,6/16/2020,Asia,Malaysia,121
7970,6/4/2020,Asia,Malaysia,115
22,2/26/2020,Asia,Malaysia,0
149,3/12/2020,Asia,Malaysia,0
535,10/18/2020,Asia,Taiwan,7
498,9/14/2020,Asia,Taiwan,7
521,10/7/2020,Asia,Taiwan,7
449,7/4/2020,Asia,Taiwan,7
449,7/3/2020,Asia,Taiwan,7
447,6/27/2020,Asia,Taiwan,7
458,7/24/2020,Asia,Taiwan,7
487,8/25/2020,Asia,Taiwan,7
16,2/7/2020,Asia,Taiwan,0
8,1/30/2020,Asia,Taiwan,0
11,2/5/2020,Asia,Taiwan,0
21177,9/6/2020,Asia,South Korea,334
20182,9/1/2020,Asia,South Korea,324
20644,9/3/2020,Asia,South Korea,329
21588,9/9/2020,Asia,South Korea,344
23812,10/1/2020,Asia,South Korea,413
14456,8/5/2020,Asia,South Korea,302
28,2/12/2020,Asia,South Korea,0
16,2/4/2020,Asia,South Korea,0
263,9/26/2020,Asia,Bhutan,0
224,8/31/2020,Asia,Bhutan,0
280,9/29/2020,Asia,Bhutan,0
43,6/1/2020,Asia,Bhutan,0
80,7/10/2020,Asia,Bhutan,0
69,6/23/2020,Asia,Bhutan,0
233,9/8/2020,Asia,Bhutan,0
246,9/15/2020,Asia,Bhutan,0
5,4/6/2020,Asia,Bhutan,0
0,2/7/2020,Asia,Bhutan,0
43,5/31/2020,Asia,Bhutan,0
1,3/15/2020,Asia,Bhutan,0
0,1/28/2020,Asia,Bhutan,0
5,4/3/2020,Asia,Nepal,0
17061,7/15/2020,Asia,Nepal,38
16649,7/11/2020,Asia,Nepal,35
18752,7/28/2020,Asia,Nepal,48
13248,6/30/2020,Asia,Nepal,29
15964,7/8/2020,Asia,Nepal,35
487,5/22/2020,Asia,Nepal,3
0,1/22/2020,Asia,Nepal,0
463951,10/29/2020,Asia,Iraq,10770
315597,9/20/2020,Asia,Iraq,8491
176931,8/17/2020,Asia,Iraq,5860
0,2/4/2020,Asia,Iraq,0
278418,9/11/2020,Asia,Iraq,7814
2003,4/30/2020,Asia,Iraq,92
319330,10/4/2020,Asia,Philippines,5678
314079,10/2/2020,Asia,Philippines,5562
3018,4/4/2020,Asia,Philippines,136
67456,7/20/2020,Asia,Philippines,1831
112593,8/5/2020,Asia,Philippines,2115
106330,8/4/2020,Asia,Philippines,2104
98232,8/2/2020,Asia,Philippines,2039
52,3/13/2020,Asia,Philippines,2
189601,8/24/2020,Asia,Philippines,2998
119460,8/7/2020,Asia,Philippines,2150
33,3/11/2020,Asia,Philippines,1
64,3/14/2020,Asia,Philippines,6
3,2/10/2020,Asia,Philippines,1
311,9/19/2020,Asia,Mongolia,0
310,9/10/2020,Asia,Mongolia,0
313,9/25/2020,Asia,Mongolia,0
227,7/11/2020,Asia,Mongolia,0
197,6/15/2020,Asia,Mongolia,0
31,4/19/2020,Asia,Mongolia,0
220,7/8/2020,Asia,Mongolia,0
42,5/8/2020,Asia,Mongolia,0
194,6/11/2020,Asia,Mongolia,0
0,1/29/2020,Asia,Mongolia,0
0,1/5/2020,Asia,Mongolia,0
371816,8/30/2020,Asia,Iran,21359
373570,8/31/2020,Asia,Iran,21462
500075,10/12/2020,Asia,Iran,28544
530380,10/19/2020,Asia,Iran,30375
380746,9/4/2020,Asia,Iran,21926
326712,8/10/2020,Asia,Iran,18427
173832,6/9/2020,Asia,Iran,8351
298909,7/30/2020,Asia,Iran,16343
267061,7/17/2020,Asia,Iran,13608
0,2/12/2020,Asia,Iran,0
0,2/6/2020,Asia,Iran,0
0,1/14/2020,Asia,Iran,0
203,5/26/2020,Asia,Myanmar,6
359,8/9/2020,Asia,Myanmar,6
504,8/26/2020,Asia,Myanmar,6
0,3/20/2020,Asia,Myanmar,0
62,4/14/2020,Asia,Myanmar,4
240,6/7/2020,Asia,Myanmar,6
199,5/22/2020,Asia,Myanmar,6
0,3/17/2020,Asia,Myanmar,0
0,2/11/2020,Asia,Myanmar,0
278,10/4/2020,Asia,Cambodia,0
273,8/26/2020,Asia,Cambodia,0
141,7/7/2020,Asia,Cambodia,0
128,6/14/2020,Asia,Cambodia,0
197,7/22/2020,Asia,Cambodia,0
24,3/17/2020,Asia,Cambodia,0
119,4/10/2020,Asia,Cambodia,0
3576,9/15/2020,Asia,Syria,157
4038,9/27/2020,Asia,Syria,188
47,5/11/2020,Asia,Syria,3
48,5/15/2020,Asia,Syria,3
1764,8/19/2020,Asia,Syria,68
43,4/28/2020,Asia,Syria,3
0,3/14/2020,Asia,Syria,0
0,2/13/2020,Asia,Syria,0
0,1/15/2020,Asia,Syria,0
0,1/6/2020,Asia,Syria,0
125337,10/31/2020,Asia,Kuwait,773
114744,10/17/2020,Asia,Kuwait,690
17568,5/21/2020,Asia,Kuwait,124
4983,5/4/2020,Asia,Kuwait,38
0,2/2/2020,Asia,Kuwait,0
1432,8/14/2020,Asia,Syria,55
63309,7/26/2020,Asia,Kuwait,429
1355,4/15/2020,Asia,Kuwait,3
39928,10/13/2020,Asia,Afghanistan,1480
37345,8/13/2020,Asia,Afghanistan,1354
35070,7/17/2020,Asia,Afghanistan,1115
3224,5/6/2020,Asia,Afghanistan,95
0,1/28/2020,Asia,Afghanistan,0
0,1/23/2020,Asia,Afghanistan,0
0,1/6/2020,Asia,Afghanistan,0
312966,9/27/2020,Asia,Turkey,7929
131744,5/7/2020,Asia,Turkey,3584
101790,4/24/2020,Asia,Turkey,2491
246861,8/15/2020,Asia,Turkey,5934
112261,4/28/2020,Asia,Turkey,2900
0,1/25/2020,Asia,Turkey,0
0,1/21/2020,Asia,Turkey,0
98801,10/5/2020,Asia,United Arab Emirates,426
64541,8/18/2020,Asia,United Arab Emirates,364
26004,5/21/2020,Asia,United Arab Emirates,233
6943,4/20/2020,Asia,United Arab Emirates,41
41990,6/14/2020,Asia,United Arab Emirates,288
8,2/13/2020,Asia,United Arab Emirates,0
13,2/25/2020,Asia,United Arab Emirates,0
29,3/7/2020,Asia,United Arab Emirates,0
0,1/26/2020,Asia,United Arab Emirates,0
5,2/4/2020,Asia,United Arab Emirates,0
0,1/4/2020,Asia,United Arab Emirates,0
54953,9/27/2020,Asia,Uzbekistan,454
28069,8/6/2020,Asia,Uzbekistan,173
187,4/2/2020,Asia,Uzbekistan,2
13193,7/13/2020,Asia,Uzbekistan,61
397,4/7/2020,Asia,Uzbekistan,2
2691,5/16/2020,Asia,Uzbekistan,11
6025,6/20/2020,Asia,Uzbekistan,19
15896,7/18/2020,Asia,Uzbekistan,80
0,2/25/2020,Asia,Uzbekistan,0
0,2/20/2020,Asia,Uzbekistan,0
330246,9/22/2020,Asia,Saudi Arabia,4512
346047,10/29/2020,Asia,Saudi Arabia,5348
329754,9/21/2020,Asia,Saudi Arabia,4485
17522,4/27/2020,Asia,Saudi Arabia,139
240474,7/16/2020,Asia,Saudi Arabia,2325
294519,8/14/2020,Asia,Saudi Arabia,3303
1885,4/4/2020,Asia,Saudi Arabia,21
220144,7/9/2020,Asia,Saudi Arabia,2059
157612,6/22/2020,Asia,Saudi Arabia,1267
297315,8/16/2020,Asia,Saudi Arabia,3369
0,2/19/2020,Asia,Saudi Arabia,0
0,2/17/2020,Asia,Saudi Arabia,0
0,1/1/2020,Asia,Saudi Arabia,0
344749,10/15/2020,Asia,Indonesia,12156
141370,8/18/2020,Asia,Indonesia,6207
0,2/27/2020,Asia,Indonesia,0
355,7/4/2020,Asia,Vietnam,0
264,4/13/2020,Asia,Vietnam,0
324,5/21/2020,Asia,Vietnam,0
95,3/22/2020,Asia,Vietnam,0
369,7/9/2020,Asia,Vietnam,0
327,5/28/2020,Asia,Vietnam,0
268,4/22/2020,Asia,Vietnam,0
652,8/4/2020,Asia,Vietnam,8
334,6/16/2020,Asia,Vietnam,0
68,3/18/2020,Asia,Vietnam,0
355,6/30/2020,Asia,Vietnam,0
342,6/19/2020,Asia,Vietnam,0
2,1/26/2020,Asia,Vietnam,0
0,1/16/2020,Asia,Vietnam,0
320564,10/9/2020,Asia,Indonesia,11580
60965,9/16/2020,Asia,Bahrain,213
1040,4/12/2020,Asia,Bahrain,6
32039,7/11/2020,Asia,Bahrain,104
22407,6/23/2020,Asia,Bahrain,65
1361,4/14/2020,Asia,Bahrain,7
23570,6/25/2020,Asia,Bahrain,69
0,1/25/2020,Asia,Bahrain,0
0,1/26/2020,Asia,Bahrain,0
45153,9/17/2020,Asia,Kyrgyzstan,1063
42146,8/19/2020,Asia,Kyrgyzstan,1498
0,3/14/2020,Asia,Kyrgyzstan,0
0,3/10/2020,Asia,Kyrgyzstan,0
27,9/3/2020,Asia,Timor Leste,0
24,7/28/2020,Asia,Timor Leste,0
24,8/4/2020,Asia,Timor Leste,0
24,7/14/2020,Asia,Timor Leste,0
25,8/16/2020,Asia,Timor Leste,0
0,3/8/2020,Asia,Timor Leste,0
0,2/26/2020,Asia,Timor Leste,0
0,2/13/2020,Asia,Timor Leste,0
0,1/30/2020,Asia,Timor Leste,0
9088,9/15/2020,Asia,Tajikistan,72
0,4/24/2020,Asia,Tajikistan,0
7320,7/30/2020,Asia,Tajikistan,60
8029,8/16/2020,Asia,Tajikistan,64
0,3/13/2020,Asia,Tajikistan,0
0,2/24/2020,Asia,Tajikistan,0
0,2/19/2020,Asia,Tajikistan,0
0,1/13/2020,Asia,Tajikistan,0
57022,9/7/2020,Asia,Singapore,27
55353,8/12/2020,Asia,Singapore,27
15641,4/30/2020,Asia,Singapore,14
44664,7/6/2020,Asia,Singapore,26
14423,4/28/2020,Asia,Singapore,14
81,2/19/2020,Asia,Singapore,0
45,2/11/2020,Asia,Singapore,0
0,1/10/2020,Asia,Singapore,0
0,1/11/2020,Asia,Singapore,0
360555,9/29/2020,Asia,Bangladesh,5193
373151,10/8/2020,Asia,Bangladesh,5440
390206,10/20/2020,Asia,Bangladesh,5681
317528,9/3/2020,Asia,Bangladesh,4351
381275,10/14/2020,Asia,Bangladesh,5577
263503,8/12/2020,Asia,Bangladesh,3471
56,4/3/2020,Asia,Bangladesh,6
4186,4/24/2020,Asia,Bangladesh,127
244020,8/5/2020,Asia,Bangladesh,3234
226225,7/28/2020,Asia,Bangladesh,2965
186894,7/14/2020,Asia,Bangladesh,2391
0,3/3/2020,Asia,Bangladesh,0
3,3/13/2020,Asia,Bangladesh,0
0,2/18/2020,Asia,Bangladesh,0
4659984,9/12/2020,Asia,India,77472
6623815,10/5/2020,Asia,India,102685
562,3/25/2020,Asia,India,9
27892,4/27/2020,Asia,India,872
112359,5/21/2020,Asia,India,3435
395048,6/20/2020,Asia,India,12948
31,3/7/2020,Asia,India,0
3,2/8/2020,Asia,India,0
0,1/29/2020,Asia,India,0
0,1/20/2020,Asia,India,0
0,1/12/2020,Asia,India,0
0,1/7/2020,Asia,India,0
0,1/3/2020,Asia,India,0
171768,9/17/2020,Asia,Israel,1165
