Positive Cases,Reported Date,Country Name,Death Count
4690,5/8/2020,Kazakhstan,31
10,4/3/2020,Laos,0
19,4/13/2020,Laos,0
19,4/24/2020,Laos,0
19,4/15/2020,Laos,0
19,4/22/2020,Laos,0
19,5/25/2020,Laos,0
19,5/19/2020,Laos,0
0,2/27/2020,Laos,0
0,3/16/2020,Laos,0
0,1/2/2020,Laos,0
2954,4/30/2020,Thailand,54
3963,4/8/2020,Malaysia,63
5945,4/30/2020,Malaysia,100
3793,4/7/2020,Malaysia,62
6941,5/19/2020,Malaysia,113
6002,5/1/2020,Malaysia,102
22,2/26/2020,Malaysia,0
149,3/12/2020,Malaysia,0
16,2/7/2020,Taiwan,0
8,1/30/2020,Taiwan,0
11,2/5/2020,Taiwan,0
28,2/12/2020,South Korea,0
16,2/4/2020,South Korea,0
5,4/6/2020,Bhutan,0
0,2/7/2020,Bhutan,0
43,5/31/2020,Bhutan,0
1,3/15/2020,Bhutan,0
0,1/28/2020,Bhutan,0
5,4/3/2020,Nepal,0
487,5/22/2020,Nepal,3
0,1/22/2020,Nepal,0
0,2/4/2020,Iraq,0
2003,4/30/2020,Iraq,92
3018,4/4/2020,Philippines,136
52,3/13/2020,Philippines,2
33,3/11/2020,Philippines,1
64,3/14/2020,Philippines,6
3,2/10/2020,Philippines,1
31,4/19/2020,Mongolia,0
42,5/8/2020,Mongolia,0
0,1/29/2020,Mongolia,0
0,1/5/2020,Mongolia,0
0,2/12/2020,Iran,0
0,2/6/2020,Iran,0
0,1/14/2020,Iran,0
203,5/26/2020,Myanmar,6
0,3/20/2020,Myanmar,0
62,4/14/2020,Myanmar,4
199,5/22/2020,Myanmar,6
0,3/17/2020,Myanmar,0
0,2/11/2020,Myanmar,0
24,3/17/2020,Cambodia,0
119,4/10/2020,Cambodia,0
47,5/11/2020,Syria,3
48,5/15/2020,Syria,3
43,4/28/2020,Syria,3
0,3/14/2020,Syria,0
0,2/13/2020,Syria,0
0,1/15/2020,Syria,0
0,1/6/2020,Syria,0
17568,5/21/2020,Kuwait,124
4983,5/4/2020,Kuwait,38
0,2/2/2020,Kuwait,0
1355,4/15/2020,Kuwait,3
3224,5/6/2020,Afghanistan,95
0,1/28/2020,Afghanistan,0
0,1/23/2020,Afghanistan,0
0,1/6/2020,Afghanistan,0
131744,5/7/2020,Turkey,3584
101790,4/24/2020,Turkey,2491
112261,4/28/2020,Turkey,2900
0,1/25/2020,Turkey,0
0,1/21/2020,Turkey,0
26004,5/21/2020,United Arab Emirates,233
6943,4/20/2020,United Arab Emirates,41
8,2/13/2020,United Arab Emirates,0
13,2/25/2020,United Arab Emirates,0
29,3/7/2020,United Arab Emirates,0
0,1/26/2020,United Arab Emirates,0
5,2/4/2020,United Arab Emirates,0
0,1/4/2020,United Arab Emirates,0
187,4/2/2020,Uzbekistan,2
397,4/7/2020,Uzbekistan,2
2691,5/16/2020,Uzbekistan,11
0,2/25/2020,Uzbekistan,0
0,2/20/2020,Uzbekistan,0
17522,4/27/2020,Saudi Arabia,139
1885,4/4/2020,Saudi Arabia,21
0,2/19/2020,Saudi Arabia,0
0,2/17/2020,Saudi Arabia,0
0,1/1/2020,Saudi Arabia,0
0,2/27/2020,Indonesia,0
264,4/13/2020,Vietnam,0
324,5/21/2020,Vietnam,0
95,3/22/2020,Vietnam,0
327,5/28/2020,Vietnam,0
268,4/22/2020,Vietnam,0
68,3/18/2020,Vietnam,0
2,1/26/2020,Vietnam,0
0,1/16/2020,Vietnam,0
1040,4/12/2020,Bahrain,6
1361,4/14/2020,Bahrain,7
0,1/25/2020,Bahrain,0
0,1/26/2020,Bahrain,0
0,3/14/2020,Kyrgyzstan,0
0,3/10/2020,Kyrgyzstan,0
0,3/8/2020,Timor Leste,0
0,2/26/2020,Timor Leste,0
0,2/13/2020,Timor Leste,0
0,1/30/2020,Timor Leste,0
0,4/24/2020,Tajikistan,0
0,3/13/2020,Tajikistan,0
0,2/24/2020,Tajikistan,0
0,2/19/2020,Tajikistan,0
0,1/13/2020,Tajikistan,0
15641,4/30/2020,Singapore,14
14423,4/28/2020,Singapore,14
81,2/19/2020,Singapore,0
45,2/11/2020,Singapore,0
0,1/10/2020,Singapore,0
0,1/11/2020,Singapore,0
56,4/3/2020,Bangladesh,6
4186,4/24/2020,Bangladesh,127
0,3/3/2020,Bangladesh,0
3,3/13/2020,Bangladesh,0
0,2/18/2020,Bangladesh,0
562,3/25/2020,India,9
27892,4/27/2020,India,872
112359,5/21/2020,India,3435
31,3/7/2020,India,0
3,2/8/2020,India,0
0,1/29/2020,India,0
0,1/20/2020,India,0
0,1/12/2020,India,0
0,1/7/2020,India,0
0,1/3/2020,India,0
96,3/13/2020,Israel,0
0,2/1/2020,Israel,0
0,1/15/2020,Israel,0
0,1/3/2020,Israel,0
52,3/22/2020,Oman,0
3574,5/12/2020,Oman,17
7,3/4/2020,Oman,0
106,3/28/2020,Sri Lanka,0
143,4/2/2020,Sri Lanka,2
1469,5/28/2020,Sri Lanka,10
420,4/25/2020,Sri Lanka,7
992,5/19/2020,Sri Lanka,9
1,2/11/2020,Sri Lanka,0
4,3/3/2020,Pakistan,0
21,3/13/2020,Pakistan,0
0,2/25/2020,Pakistan,0
0,1/31/2020,Pakistan,0
954,5/20/2020,Lebanon,26
230,3/22/2020,Lebanon,4
796,5/9/2020,Lebanon,26
1097,5/24/2020,Lebanon,26
859,5/12/2020,Lebanon,26
1,2/26/2020,Lebanon,0
0,2/16/2020,Lebanon,0
562,3/28/2020,Qatar,0
4103,4/17/2020,Qatar,7
14096,5/2/2020,Qatar,12
12,3/8/2020,Qatar,0
262,3/13/2020,Qatar,0
0,1/4/2020,Qatar,0
0,3/25/2020,Yemen,0
1,4/26/2020,Yemen,0
0,3/1/2020,Yemen,0
0,2/22/2020,Yemen,0
0,2/6/2020,Yemen,0
0,1/25/2020,Yemen,0
83754,4/17/2020,China,4636
81484,3/23/2020,China,3274
59,1/16/2020,China,2
1693,3/29/2020,Japan,52
14088,4/30/2020,Japan,415
14281,5/1/2020,Japan,432
335,4/23/2020,Palestine,2
329,4/21/2020,Palestine,2
291,4/16/2020,Palestine,2
0,3/5/2020,Palestine,0
0,1/20/2020,Palestine,0
0,1/4/2020,Palestine,0
141,5/15/2020,Brunei Darussalam,1
141,5/12/2020,Brunei Darussalam,1
0,1/20/2020,Brunei Darussalam,0
0,1/19/2020,Brunei Darussalam,0
10382,5/30/2020,Kazakhstan,37
0,3/4/2020,Kazakhstan,0
0,2/25/2020,Kazakhstan,0
6,3/27/2020,Laos,0
0,2/13/2020,Laos,0
0,1/3/2020,Laos,0
1875,4/3/2020,Thailand,15
2839,4/24/2020,Thailand,50
3015,5/12/2020,Thailand,56
2518,4/11/2020,Thailand,35
4987,4/15/2020,Malaysia,82
6894,5/18/2020,Malaysia,113
6656,5/11/2020,Malaysia,108
0,1/3/2020,Malaysia,0
440,5/10/2020,Taiwan,6
59,3/16/2020,Taiwan,1
0,2/7/2020,Jordan,0
0,1/13/2020,Jordan,0
0,2/12/2020,Maldives,0
0,1/30/2020,Maldives,0
0,1/27/2020,Maldives,0
0,2/2/2020,Maldives,0
0,1/17/2020,Maldives,0
0,1/7/2020,Maldives,0
0,1/3/2020,Maldives,0
11065,5/18/2020,South Korea,263
10774,5/1/2020,South Korea,248
0,1/14/2020,South Korea,0
80,2/20/2020,South Korea,0
5,4/3/2020,Bhutan,0
11,5/13/2020,Bhutan,0
5,4/4/2020,Bhutan,0
7,4/23/2020,Bhutan,0
21,5/16/2020,Bhutan,0
21,5/21/2020,Bhutan,0
7,4/28/2020,Bhutan,0
1,3/7/2020,Bhutan,0
0,1/13/2020,Bhutan,0
59,5/3/2020,Nepal,0
101,5/9/2020,Nepal,0
75,5/4/2020,Nepal,0
1,3/7/2020,Nepal,0
1,2/1/2020,Nepal,0
772,4/3/2020,Iraq,54
1602,4/22/2020,Iraq,83
2346,5/5/2020,Iraq,98
0,1/24/2020,Iraq,0
0,2/4/2020,Myanmar,0
0,1/11/2020,Myanmar,0
122,5/5/2020,Cambodia,0
1,3/7/2020,Cambodia,0
191,3/19/2020,Turkey,1
18,3/16/2020,Turkey,0
0,1/16/2020,Turkey,0
0,1/12/2020,Turkey,0
133721,5/8/2020,Turkey,3641
636,3/26/2020,Philippines,38
8488,5/1/2020,Philippines,568
49,3/12/2020,Philippines,2
0,1/12/2020,Philippines,0
0,1/7/2020,Philippines,0
36,4/24/2020,Mongolia,0
161,5/28/2020,Mongolia,0
16,4/14/2020,Mongolia,0
16,4/11/2020,Mongolia,0
10,3/24/2020,Mongolia,0
137724,5/26/2020,Iran,7451
124603,5/20/2020,Iran,7119
35408,3/29/2020,Iran,2517
120198,5/18/2020,Iran,6988
1501,3/3/2020,Iran,66
0,1/31/2020,Iran,0
0,1/7/2020,Iran,0
1,3/25/2020,Syria,0
0,2/12/2020,Syria,0
0,2/1/2020,Syria,0
21967,5/26/2020,Kuwait,165
0,2/10/2020,Kuwait,0
58,3/7/2020,Kuwait,0
0,1/5/2020,Kuwait,0
4967,5/13/2020,Afghanistan,127
75,3/27/2020,Afghanistan,1
845,4/18/2020,Afghanistan,30
1703,4/28/2020,Afghanistan,57
7,3/12/2020,Afghanistan,0
7,3/13/2020,Afghanistan,0
27892,5/23/2020,United Arab Emirates,241
5,2/6/2020,United Arab Emirates,0
3006,5/22/2020,Uzbekistan,13
6,3/16/2020,Uzbekistan,0
0,1/24/2020,Uzbekistan,0
0,1/10/2020,Uzbekistan,0
0,3/7/2020,Uzbekistan,0
133,3/17/2020,Saudi Arabia,0
20,3/11/2020,Saudi Arabia,0
0,2/10/2020,Saudi Arabia,0
22750,5/26/2020,Indonesia,1391
14032,5/11/2020,Indonesia,973
6,3/10/2020,Indonesia,0
0,2/18/2020,Indonesia,0
16,3/1/2020,Vietnam,0
13,2/8/2020,Vietnam,0
1773,4/19/2020,Bahrain,7
9138,5/25/2020,Bahrain,14
8802,5/24/2020,Bahrain,13
3383,5/4/2020,Bahrain,8
998,4/11/2020,Bahrain,6
210,3/14/2020,Bahrain,0
214,3/16/2020,Bahrain,0
0,2/18/2020,Bahrain,0
0,2/5/2020,Bahrain,0
5816,5/14/2020,Bahrain,10
1350,5/22/2020,Kyrgyzstan,14
0,1/31/2020,Kyrgyzstan,0
0,1/22/2020,Kyrgyzstan,0
0,2/4/2020,Timor Leste,0
0,4/10/2020,Tajikistan,0
0,4/23/2020,Tajikistan,0
2738,5/25/2020,Tajikistan,44
461,5/8/2020,Tajikistan,12
0,4/1/2020,Tajikistan,0
0,3/17/2020,Tajikistan,0
0,3/10/2020,Tajikistan,0
0,2/18/2020,Tajikistan,0
0,3/19/2020,Tajikistan,0
15,5/1/2020,Tajikistan,0
25346,5/14/2020,Singapore,21
93,2/27/2020,Singapore,0
3,1/24/2020,Singapore,0
10,3/20/2020,Bangladesh,0
0,2/4/2020,Bangladesh,0
320,3/22/2020,India,4
125101,5/23/2020,India,3720
10363,4/14/2020,India,339
7447,4/11/2020,India,239
0,1/25/2020,India,0
0,1/21/2020,India,0
3,2/4/2020,India,0
6252,4/3/2020,Israel,34
11145,4/13/2020,Israel,103
14592,4/23/2020,Israel,191
7428,4/4/2020,Israel,39
433,3/19/2020,Israel,0
0,2/13/2020,Israel,0
0,1/2/2020,Israel,0
5379,5/19/2020,Oman,26
0,1/26/2020,Oman,0
0,1/24/2020,Oman,0
889,5/13/2020,Sri Lanka,9
197,4/11/2020,Sri Lanka,7
1,2/20/2020,Sri Lanka,0
1,2/2/2020,Sri Lanka,0
4072,4/8/2020,Pakistan,58
5716,4/14/2020,Pakistan,96
2,2/27/2020,Pakistan,0
5,3/6/2020,Pakistan,0
0,2/9/2020,Pakistan,0
0,2/1/2020,Pakistan,0
0,1/6/2020,Pakistan,0
0,1/1/2020,Pakistan,0
548,4/8/2020,Lebanon,19
13,3/3/2020,Lebanon,0
22,3/7/2020,Lebanon,0
0,2/10/2020,Lebanon,0
675,3/13/2020,Japan,19
19,2/2/2020,Japan,0
1,1/17/2020,Japan,0
0,1/6/2020,Japan,0
0,1/14/2020,Japan,0
602,5/23/2020,Palestine,4
39,3/17/2020,Palestine,0
20,3/10/2020,Palestine,0
30,3/12/2020,Palestine,0
0,1/27/2020,Palestine,0
138,5/3/2020,Brunei Darussalam,1
141,5/20/2020,Brunei Darussalam,1
136,4/14/2020,Brunei Darussalam,1
40,3/15/2020,Brunei Darussalam,0
50,3/16/2020,Brunei Darussalam,0
2376,4/10/2020,Qatar,6
28272,5/15/2020,Qatar,14
11,3/7/2020,Qatar,0
0,1/31/2020,Qatar,0
0,1/22/2020,Qatar,0
1,4/27/2020,Yemen,0
205,5/23/2020,Yemen,33
287,5/30/2020,Yemen,66
87,5/15/2020,Yemen,13
0,3/16/2020,Yemen,0
0,2/5/2020,Yemen,0
0,1/9/2020,Yemen,0
84054,5/18/2020,China,4638
81020,3/16/2020,China,3216
79929,3/1/2020,China,2872
70618,2/17/2020,China,1771
437,4/24/2020,Jordan,7
407,4/18/2020,Jordan,7
1,3/6/2020,Jordan,0
0,1/15/2020,Jordan,0
1672,5/31/2020,Maldives,5
20,4/13/2020,Maldives,0
19,4/4/2020,Maldives,0
21,4/15/2020,Maldives,0
19,4/9/2020,Maldives,0
0,2/13/2020,Maldives,0
551,5/5/2020,Maldives,1
0,2/11/2020,Maldives,0
0,1/13/2020,Maldives,0
1267,4/15/2020,Kazakhstan,14
2025,4/22/2020,Kazakhstan,19
670,4/7/2020,Kazakhstan,6
9304,5/27/2020,Kazakhstan,37
6,3/15/2020,Kazakhstan,0
0,2/21/2020,Kazakhstan,0
0,2/9/2020,Kazakhstan,0
0,1/29/2020,Kazakhstan,0
19,5/27/2020,Laos,0
0,3/1/2020,Laos,0
0,2/17/2020,Laos,0
0,1/18/2020,Laos,0
599,3/22/2020,Thailand,1
1388,3/30/2020,Thailand,7
8,1/27/2020,Thailand,0
4,1/23/2020,Thailand,0
7059,5/22/2020,Malaysia,114
395,4/18/2020,Taiwan,6
53,3/14/2020,Taiwan,1
18,2/13/2020,Taiwan,0
1,1/22/2020,Taiwan,0
6284,3/6/2020,South Korea,42
7869,3/12/2020,South Korea,66
10512,4/12/2020,South Korea,214
9241,3/26/2020,South Korea,131
3,3/28/2020,Bhutan,0
1,3/20/2020,Bhutan,0
2,3/23/2020,Bhutan,0
0,3/4/2020,Bhutan,0
0,2/29/2020,Bhutan,0
0,1/21/2020,Bhutan,0
9,4/8/2020,Nepal,0
42,4/23/2020,Syria,3
5,3/29/2020,Syria,0
43,5/1/2020,Syria,3
10,3/31/2020,Syria,2
44,5/4/2020,Syria,3
0,1/2/2020,Syria,0
665,4/7/2020,Kuwait,1
123,3/17/2020,Kuwait,0
0,2/14/2020,Kuwait,0
0,1/20/2020,Kuwait,0
148950,5/31/2020,Iran,7734
50468,4/4/2020,Iran,3160
38309,3/30/2020,Iran,2640
143849,5/29/2020,Iran,7627
0,2/7/2020,Iran,0
0,1/29/2020,Iran,0
0,1/17/2020,Iran,0
0,1/20/2020,Iran,0
2219,5/3/2020,Iraq,95
10582,5/25/2020,Afghanistan,218
1351,4/25/2020,Afghanistan,43
21,3/17/2020,Afghanistan,0
0,2/2/2020,Afghanistan,0
0,1/19/2020,Afghanistan,0
4428,4/12/2020,Philippines,247
9223,5/4/2020,Philippines,607
0,1/28/2020,Philippines,0
0,1/24/2020,Philippines,0
38,4/30/2020,Mongolia,0
14,4/5/2020,Mongolia,0
0,3/6/2020,Mongolia,0
0,2/12/2020,Mongolia,0
0,3/7/2020,Mongolia,0
0,2/4/2020,Mongolia,0
8882,4/27/2020,Indonesia,743
14749,5/13/2020,Indonesia,1007
1155,3/29/2020,Indonesia,102
11192,5/4/2020,Indonesia,845
5136,4/16/2020,Indonesia,469
0,3/1/2020,Indonesia,0
0,2/8/2020,Indonesia,0
270,5/3/2020,Vietnam,0
288,5/10/2020,Vietnam,0
288,5/8/2020,Vietnam,0
2,1/29/2020,Vietnam,0
0,1/21/2020,Vietnam,0
0,1/1/2020,Vietnam,0
17,3/7/2020,Vietnam,0
0,1/2/2020,Vietnam,0
113,3/19/2020,United Arab Emirates,0
4359,4/14/2020,United Arab Emirates,25
21831,5/16/2020,United Arab Emirates,210
14163,5/4/2020,United Arab Emirates,126
21,3/3/2020,United Arab Emirates,0
13,2/24/2020,United Arab Emirates,0
0,1/13/2020,United Arab Emirates,0
1887,4/27/2020,Uzbekistan,8
2336,5/9/2020,Uzbekistan,10
3333,5/28/2020,Uzbekistan,14
3132,5/24/2020,Uzbekistan,13
0,3/9/2020,Uzbekistan,0
0,2/19/2020,Uzbekistan,0
76726,5/27/2020,Saudi Arabia,411
562,3/24/2020,Saudi Arabia,0
0,3/18/2020,Timor Leste,0
0,2/25/2020,Timor Leste,0
0,2/12/2020,Timor Leste,0
0,1/18/2020,Timor Leste,0
0,4/20/2020,Tajikistan,0
0,3/11/2020,Tajikistan,0
0,2/2/2020,Tajikistan,0
0,2/5/2020,Tajikistan,0
1136,4/13/2020,Bahrain,6
8174,5/22/2020,Bahrain,12
162,3/13/2020,Bahrain,0
0,2/20/2020,Bahrain,0
6,3/21/2020,Kyrgyzstan,0
144,4/4/2020,Kyrgyzstan,1
84,3/30/2020,Kyrgyzstan,0
489,4/17/2020,Kyrgyzstan,5
6,3/20/2020,Kyrgyzstan,0
0,3/12/2020,Kyrgyzstan,0
0,2/14/2020,Kyrgyzstan,0
0,2/13/2020,Kyrgyzstan,0
13624,4/27/2020,Singapore,12
22460,5/10/2020,Singapore,20
30426,5/23/2020,Singapore,23
16169,5/1/2020,Singapore,15
844,3/31/2020,Singapore,3
266,3/18/2020,Singapore,0
89,2/23/2020,Singapore,0
0,1/13/2020,Singapore,0
25121,5/20/2020,Bangladesh,370
3,3/14/2020,Bangladesh,0
0,2/5/2020,Bangladesh,0
0,1/1/2020,Bangladesh,0
979,3/29/2020,India,25
137,3/18/2020,India,3
70756,5/12/2020,India,2293
3,2/10/2020,India,0
2,2/2/2020,India,0
0,1/22/2020,India,0
16454,5/10/2020,Israel,247
16608,5/17/2020,Israel,268
15589,4/29/2020,Israel,208
15058,4/25/2020,Israel,194
1,2/22/2020,Israel,0
0,1/23/2020,Israel,0
162,5/7/2020,Myanmar,6
85,4/17/2020,Myanmar,4
150,4/29/2020,Myanmar,5
0,2/9/2020,Myanmar,0
1,2/22/2020,Cambodia,0
1,1/30/2020,Cambodia,0
0,1/17/2020,Cambodia,0
0,1/8/2020,Cambodia,0
0,2/1/2020,Myanmar,0
16,3/7/2020,Oman,0
0,2/3/2020,Oman,0
237,4/16/2020,Sri Lanka,7
1,1/30/2020,Sri Lanka,0
0,1/18/2020,Sri Lanka,0
0,1/5/2020,Sri Lanka,0
3277,4/6/2020,Pakistan,50
7025,4/17/2020,Pakistan,135
48091,5/21/2020,Pakistan,1017
61227,5/28/2020,Pakistan,1260
50694,5/22/2020,Pakistan,1067
0,2/5/2020,Pakistan,0
0,1/21/2020,Pakistan,0
609,4/11/2020,Lebanon,20
0,1/12/2020,Lebanon,0
137115,5/10/2020,Turkey,3739
3629,3/27/2020,Turkey,75
155686,5/24/2020,Turkey,4308
0,2/21/2020,Turkey,0
0,2/20/2020,Turkey,0
14872,5/3/2020,Qatar,12
0,1/12/2020,Qatar,0
1,4/24/2020,Yemen,0
1,4/25/2020,Yemen,0
0,2/1/2020,Yemen,0
0,1/20/2020,Yemen,0
0,1/24/2020,Yemen,0
83991,5/10/2020,China,4637
81346,3/22/2020,China,3265
84081,5/23/2020,China,4638
83803,4/19/2020,China,4636
83938,4/28/2020,China,4637
882,1/24/2020,China,26
15628,5/9/2020,Japan,601
15057,5/4/2020,Japan,510
210,2/28/2020,Japan,3
3271,4/5/2020,Japan,70
16550,5/24/2020,Japan,820
602,5/26/2020,Palestine,5
522,5/4/2020,Palestine,4
0,3/1/2020,Palestine,0
0,2/10/2020,Palestine,0
0,2/7/2020,Palestine,0
0,2/14/2020,Palestine,0
141,5/23/2020,Brunei Darussalam,1
0,2/1/2020,Brunei Darussalam,0
8969,5/26/2020,Kazakhstan,35
460,4/4/2020,Kazakhstan,3
88,3/26/2020,Kazakhstan,0
1331,4/16/2020,Kazakhstan,16
19,5/3/2020,Laos,0
16,4/10/2020,Laos,0
19,5/10/2020,Laos,0
19,4/28/2020,Laos,0
0,2/8/2020,Laos,0
0,1/9/2020,Laos,0
3034,5/21/2020,Thailand,56
3040,5/24/2020,Thailand,56
2854,4/25/2020,Thailand,50
59,3/11/2020,Thailand,1
25,2/7/2020,Thailand,0
14,1/30/2020,Thailand,0
22,2/25/2020,Malaysia,0
0,1/5/2020,Malaysia,0
363,4/6/2020,Taiwan,5
395,4/15/2020,Taiwan,6
379,4/9/2020,Taiwan,5
0,1/7/2020,Taiwan,0
52,3/19/2020,Jordan,0
718,5/27/2020,Jordan,9
0,1/23/2020,Jordan,0
19,4/3/2020,Maldives,0
10384,4/8/2020,South Korea,200
8897,3/22/2020,South Korea,104
10156,4/4/2020,South Korea,177
0,1/7/2020,South Korea,0
0,1/2/2020,South Korea,0
7,5/10/2020,Bhutan,0
1,3/17/2020,Bhutan,0
21,5/22/2020,Bhutan,0
0,2/8/2020,Bhutan,0
0,2/19/2020,Bhutan,0
0,1/26/2020,Bhutan,0
16,4/17/2020,Nepal,0
48,4/24/2020,Nepal,0
31,4/20/2020,Nepal,0
9,4/12/2020,Nepal,0
