COUNTRY_SHORT_NAME,REPORT_DATE,,,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT,PEOPLE_POSITIVE_CASES_COUNT,PEOPLE_DEATH_NEW_COUNT
Wallis and Futuna,1/15/2020,,,0,,,0
New Zealand,1/15/2020,,,0,0,0,0
Papua New Guinea,1/15/2020,,,0,0,0,0
Marshall Islands,1/15/2020,,,0,0,0,0
French Polynesia,1/15/2020,,,0,0,0,0
Solomon Islands,1/15/2020,,,0,0,0,0
Marshall Islands,1/16/2020,,,0,0,0,0
Fiji,1/16/2020,,,0,0,0,0
French Polynesia,1/16/2020,,,0,0,0,0
Papua New Guinea,1/16/2020,,,0,0,0,0
Australia,1/16/2020,,,0,0,0,0
Wallis and Futuna,1/16/2020,,,0,,,0
Solomon Islands,1/16/2020,,,0,0,0,0
New Caledonia,1/16/2020,,,0,0,0,0
New Zealand,1/16/2020,,,0,0,0,0
New Zealand,1/17/2020,,,0,0,0,0
Solomon Islands,1/17/2020,,,0,0,0,0
Australia,1/17/2020,,,0,0,0,0
Marshall Islands,1/17/2020,,,0,0,0,0
Papua New Guinea,1/17/2020,,,0,0,0,0
Fiji,1/17/2020,,,0,0,0,0
Wallis and Futuna,1/17/2020,,,0,,,0
New Caledonia,1/17/2020,,,0,0,0,0
French Polynesia,1/17/2020,,,0,0,0,0
Australia,1/18/2020,,,0,0,0,0
Papua New Guinea,1/18/2020,,,0,0,0,0
Fiji,1/18/2020,,,0,0,0,0
Solomon Islands,1/18/2020,,,0,0,0,0
Wallis and Futuna,1/18/2020,,,0,,,0
Marshall Islands,1/18/2020,,,0,0,0,0
French Polynesia,1/18/2020,,,0,0,0,0
New Caledonia,1/18/2020,,,0,0,0,0
New Zealand,1/18/2020,,,0,0,0,0
French Polynesia,1/19/2020,,,0,0,0,0
Solomon Islands,1/19/2020,,,0,0,0,0
Marshall Islands,1/19/2020,,,0,0,0,0
Australia,1/19/2020,,,0,0,0,0
New Caledonia,1/19/2020,,,0,0,0,0
Fiji,1/19/2020,,,0,0,0,0
Papua New Guinea,1/19/2020,,,0,0,0,0
New Zealand,1/19/2020,,,0,0,0,0
Wallis and Futuna,1/19/2020,,,0,,,0
Fiji,1/20/2020,,,0,0,0,0
New Caledonia,1/20/2020,,,0,0,0,0
Marshall Islands,1/20/2020,,,0,0,0,0
Solomon Islands,1/20/2020,,,0,0,0,0
French Polynesia,1/20/2020,,,0,0,0,0
New Zealand,1/20/2020,,,0,0,0,0
Australia,1/20/2020,,,0,0,0,0
Papua New Guinea,1/20/2020,,,0,0,0,0
Wallis and Futuna,1/20/2020,,,0,,,0
Fiji,1/21/2020,,,0,0,0,0
Wallis and Futuna,1/21/2020,,,0,,,0
New Zealand,1/21/2020,,,0,0,0,0
Marshall Islands,1/21/2020,,,0,0,0,0
New Caledonia,1/21/2020,,,0,0,0,0
Solomon Islands,1/21/2020,,,0,0,0,0
French Polynesia,1/21/2020,,,0,0,0,0
Papua New Guinea,1/21/2020,,,0,0,0,0
Australia,1/21/2020,,,0,0,0,0
Wallis and Futuna,1/22/2020,,,0,,,0
New Caledonia,1/22/2020,,,0,0,0,0
Marshall Islands,1/22/2020,,,0,0,0,0
Fiji,1/22/2020,,,0,0,0,0
Solomon Islands,1/22/2020,,,0,0,0,0
Papua New Guinea,1/22/2020,,,0,0,0,0
Australia,1/22/2020,,,0,0,0,0
French Polynesia,1/22/2020,,,0,0,0,0
New Zealand,1/22/2020,,,0,0,0,0
Solomon Islands,1/23/2020,,,0,0,0,0
New Zealand,1/23/2020,,,0,0,0,0
French Polynesia,1/23/2020,,,0,0,0,0
Papua New Guinea,1/23/2020,,,0,0,0,0
Marshall Islands,1/23/2020,,,0,0,0,0
New Caledonia,1/23/2020,,,0,0,0,0
Wallis and Futuna,1/23/2020,,,0,,,0
Australia,1/23/2020,,,0,0,0,0
Fiji,1/23/2020,,,0,0,0,0
Fiji,1/24/2020,,,0,0,0,0
Wallis and Futuna,1/24/2020,,,0,,,0
Marshall Islands,1/24/2020,,,0,0,0,0
New Zealand,1/24/2020,,,0,0,0,0
Australia,1/24/2020,,,0,0,0,0
French Polynesia,1/24/2020,,,0,0,0,0
New Caledonia,1/24/2020,,,0,0,0,0
Papua New Guinea,1/24/2020,,,0,0,0,0
Solomon Islands,1/24/2020,,,0,0,0,0
Australia,1/25/2020,,,1,0,1,0
Solomon Islands,1/25/2020,,,0,0,0,0
Wallis and Futuna,1/25/2020,,,0,,,0
Fiji,1/25/2020,,,0,0,0,0
New Zealand,1/25/2020,,,0,0,0,0
New Caledonia,1/25/2020,,,0,0,0,0
Papua New Guinea,1/25/2020,,,0,0,0,0
Marshall Islands,1/25/2020,,,0,0,0,0
French Polynesia,1/25/2020,,,0,0,0,0
Solomon Islands,1/26/2020,,,0,0,0,0
Australia,1/26/2020,,,3,0,4,0
Wallis and Futuna,1/26/2020,,,0,,,0
Papua New Guinea,1/26/2020,,,0,0,0,0
Fiji,1/26/2020,,,0,0,0,0
French Polynesia,1/26/2020,,,0,0,0,0
New Caledonia,1/26/2020,,,0,0,0,0
Marshall Islands,1/26/2020,,,0,0,0,0
New Zealand,1/26/2020,,,0,0,0,0
Solomon Islands,1/27/2020,,,0,0,0,0
French Polynesia,1/27/2020,,,0,0,0,0
Fiji,1/27/2020,,,0,0,0,0
Marshall Islands,1/27/2020,,,0,0,0,0
Australia,1/27/2020,,,0,0,4,0
New Caledonia,1/27/2020,,,0,0,0,0
Papua New Guinea,1/27/2020,,,0,0,0,0
New Zealand,1/27/2020,,,0,0,0,0
Wallis and Futuna,1/27/2020,,,0,,,0
Papua New Guinea,1/28/2020,,,0,0,0,0
Marshall Islands,1/28/2020,,,0,0,0,0
New Caledonia,1/28/2020,,,0,0,0,0
French Polynesia,1/28/2020,,,0,0,0,0
Wallis and Futuna,1/28/2020,,,0,,,0
Fiji,1/28/2020,,,0,0,0,0
Solomon Islands,1/28/2020,,,0,0,0,0
Australia,1/28/2020,,,0,0,4,0
New Zealand,1/28/2020,,,0,0,0,0
Marshall Islands,1/29/2020,,,0,0,0,0
Fiji,1/29/2020,,,0,0,0,0
New Zealand,1/29/2020,,,0,0,0,0
Papua New Guinea,1/29/2020,,,0,0,0,0
Australia,1/29/2020,,,0,0,4,0
French Polynesia,1/29/2020,,,0,0,0,0
Solomon Islands,1/29/2020,,,0,0,0,0
New Caledonia,1/29/2020,,,0,0,0,0
Wallis and Futuna,1/29/2020,,,0,,,0
Papua New Guinea,1/30/2020,,,0,0,0,0
Wallis and Futuna,1/30/2020,,,0,,,0
Marshall Islands,1/30/2020,,,0,0,0,0
New Zealand,1/30/2020,,,0,0,0,0
French Polynesia,1/30/2020,,,0,0,0,0
New Caledonia,1/30/2020,,,0,0,0,0
Australia,1/30/2020,,,2,0,6,0
Fiji,1/30/2020,,,0,0,0,0
Solomon Islands,1/30/2020,,,0,0,0,0
Marshall Islands,1/31/2020,,,0,0,0,0
Fiji,1/31/2020,,,0,0,0,0
Papua New Guinea,1/31/2020,,,0,0,0,0
Wallis and Futuna,1/31/2020,,,0,,,0
New Caledonia,1/31/2020,,,0,0,0,0
Australia,1/31/2020,,,1,0,7,0
New Zealand,1/31/2020,,,0,0,0,0
French Polynesia,1/31/2020,,,0,0,0,0
Solomon Islands,1/31/2020,,,0,0,0,0
Fiji,2/1/2020,,,0,0,0,0
Wallis and Futuna,2/1/2020,,,0,,,0
French Polynesia,2/1/2020,,,0,0,0,0
New Caledonia,2/1/2020,,,0,0,0,0
New Zealand,2/1/2020,,,0,0,0,0
Australia,2/1/2020,,,2,0,9,0
Solomon Islands,2/1/2020,,,0,0,0,0
Marshall Islands,2/1/2020,,,0,0,0,0
Papua New Guinea,2/1/2020,,,0,0,0,0
Fiji,2/2/2020,,,0,0,0,0
Papua New Guinea,2/2/2020,,,0,0,0,0
Australia,2/2/2020,,,2,0,11,0
New Caledonia,2/2/2020,,,0,0,0,0
Wallis and Futuna,2/2/2020,,,0,,,0
Marshall Islands,2/2/2020,,,0,0,0,0
New Zealand,2/2/2020,,,0,0,0,0
Solomon Islands,2/2/2020,,,0,0,0,0
French Polynesia,2/2/2020,,,0,0,0,0
Fiji,2/3/2020,,,0,0,0,0
Papua New Guinea,2/3/2020,,,0,0,0,0
Australia,2/3/2020,,,0,0,11,0
Solomon Islands,2/3/2020,,,0,0,0,0
French Polynesia,2/3/2020,,,0,0,0,0
New Caledonia,2/3/2020,,,0,0,0,0
Wallis and Futuna,2/3/2020,,,0,,,0
New Zealand,2/3/2020,,,0,0,0,0
Marshall Islands,2/3/2020,,,0,0,0,0
Australia,2/4/2020,,,0,0,11,0
Marshall Islands,2/4/2020,,,0,0,0,0
Fiji,2/4/2020,,,0,0,0,0
New Caledonia,2/4/2020,,,0,0,0,0
Wallis and Futuna,2/4/2020,,,0,,,0
Papua New Guinea,2/4/2020,,,0,0,0,0
New Zealand,2/4/2020,,,0,0,0,0
French Polynesia,2/4/2020,,,0,0,0,0
Solomon Islands,2/4/2020,,,0,0,0,0
Solomon Islands,2/5/2020,,,0,0,0,0
Papua New Guinea,2/5/2020,,,0,0,0,0
Marshall Islands,2/5/2020,,,0,0,0,0
Fiji,2/5/2020,,,0,0,0,0
French Polynesia,2/5/2020,,,0,0,0,0
Wallis and Futuna,2/5/2020,,,0,,,0
New Zealand,2/5/2020,,,0,0,0,0
New Caledonia,2/5/2020,,,0,0,0,0
Australia,2/5/2020,,,1,0,12,0
French Polynesia,2/6/2020,,,0,0,0,0
Fiji,2/6/2020,,,0,0,0,0
New Caledonia,2/6/2020,,,0,0,0,0
New Zealand,2/6/2020,,,0,0,0,0
Solomon Islands,2/6/2020,,,0,0,0,0
Marshall Islands,2/6/2020,,,0,0,0,0
Australia,2/6/2020,,,1,0,13,0
Papua New Guinea,2/6/2020,,,0,0,0,0
Wallis and Futuna,2/6/2020,,,0,,,0
Fiji,2/7/2020,,,0,0,0,0
New Zealand,2/7/2020,,,0,0,0,0
Papua New Guinea,2/7/2020,,,0,0,0,0
French Polynesia,2/7/2020,,,0,0,0,0
Wallis and Futuna,2/7/2020,,,0,,,0
Australia,2/7/2020,,,1,0,14,0
Marshall Islands,2/7/2020,,,0,0,0,0
New Caledonia,2/7/2020,,,0,0,0,0
Solomon Islands,2/7/2020,,,0,0,0,0
Fiji,2/8/2020,,,0,0,0,0
Solomon Islands,2/8/2020,,,0,0,0,0
French Polynesia,2/8/2020,,,0,0,0,0
New Caledonia,2/8/2020,,,0,0,0,0
Marshall Islands,2/8/2020,,,0,0,0,0
Papua New Guinea,2/8/2020,,,0,0,0,0
Wallis and Futuna,2/8/2020,,,0,,,0
New Zealand,2/8/2020,,,0,0,0,0
Australia,2/8/2020,,,0,0,14,0
Marshall Islands,2/9/2020,,,0,0,0,0
Australia,2/9/2020,,,0,0,14,0
Papua New Guinea,2/9/2020,,,0,0,0,0
New Zealand,2/9/2020,,,0,0,0,0
New Caledonia,2/9/2020,,,0,0,0,0
Fiji,2/9/2020,,,0,0,0,0
Solomon Islands,2/9/2020,,,0,0,0,0
French Polynesia,2/9/2020,,,0,0,0,0
Wallis and Futuna,2/9/2020,,,0,,,0
New Caledonia,2/10/2020,,,0,0,0,0
Papua New Guinea,2/10/2020,,,0,0,0,0
French Polynesia,2/10/2020,,,0,0,0,0
Australia,2/10/2020,,,0,0,14,0
Wallis and Futuna,2/10/2020,,,0,,,0
Marshall Islands,2/10/2020,,,0,0,0,0
New Zealand,2/10/2020,,,0,0,0,0
Fiji,2/10/2020,,,0,0,0,0
Solomon Islands,2/10/2020,,,0,0,0,0
Australia,2/11/2020,,,0,0,14,0
Papua New Guinea,2/11/2020,,,0,0,0,0
Marshall Islands,2/11/2020,,,0,0,0,0
Fiji,2/11/2020,,,0,0,0,0
Wallis and Futuna,2/11/2020,,,0,,,0
New Zealand,2/11/2020,,,0,0,0,0
French Polynesia,2/11/2020,,,0,0,0,0
Solomon Islands,2/11/2020,,,0,0,0,0
New Caledonia,2/11/2020,,,0,0,0,0
Wallis and Futuna,2/12/2020,,,0,,,0
Papua New Guinea,2/12/2020,,,0,0,0,0
Marshall Islands,2/12/2020,,,0,0,0,0
New Caledonia,2/12/2020,,,0,0,0,0
Solomon Islands,2/12/2020,,,0,0,0,0
Fiji,2/12/2020,,,0,0,0,0
Australia,2/12/2020,,,0,0,14,0
New Zealand,2/12/2020,,,0,0,0,0
French Polynesia,2/12/2020,,,0,0,0,0
Solomon Islands,2/13/2020,,,0,0,0,0
Marshall Islands,2/13/2020,,,0,0,0,0
French Polynesia,2/13/2020,,,0,0,0,0
New Zealand,2/13/2020,,,0,0,0,0
Australia,2/13/2020,,,0,0,14,0
Papua New Guinea,2/13/2020,,,0,0,0,0
Fiji,2/13/2020,,,0,0,0,0
New Caledonia,2/13/2020,,,0,0,0,0
Wallis and Futuna,2/13/2020,,,0,,,0
Marshall Islands,2/14/2020,,,0,0,0,0
Fiji,2/14/2020,,,0,0,0,0
Wallis and Futuna,2/14/2020,,,0,,,0
Papua New Guinea,2/14/2020,,,0,0,0,0
New Caledonia,2/14/2020,,,0,0,0,0
French Polynesia,2/14/2020,,,0,0,0,0
Australia,2/14/2020,,,1,0,15,0
New Zealand,2/14/2020,,,0,0,0,0
Solomon Islands,2/14/2020,,,0,0,0,0
Marshall Islands,2/15/2020,,,0,0,0,0
French Polynesia,2/15/2020,,,0,0,0,0
Solomon Islands,2/15/2020,,,0,0,0,0
New Zealand,2/15/2020,,,0,0,0,0
Fiji,2/15/2020,,,0,0,0,0
Australia,2/15/2020,,,0,0,15,0
Wallis and Futuna,2/15/2020,,,0,,,0
Papua New Guinea,2/15/2020,,,0,0,0,0
New Caledonia,2/15/2020,,,0,0,0,0
Wallis and Futuna,2/16/2020,,,0,,,0
New Zealand,2/16/2020,,,0,0,0,0
Australia,2/16/2020,,,0,0,15,0
French Polynesia,2/16/2020,,,0,0,0,0
Fiji,2/16/2020,,,0,0,0,0
Marshall Islands,2/16/2020,,,0,0,0,0
Papua New Guinea,2/16/2020,,,0,0,0,0
New Caledonia,2/16/2020,,,0,0,0,0
Solomon Islands,2/16/2020,,,0,0,0,0
French Polynesia,2/17/2020,,,0,0,0,0
Australia,2/17/2020,,,0,0,15,0
Solomon Islands,2/17/2020,,,0,0,0,0
New Zealand,2/17/2020,,,0,0,0,0
New Caledonia,2/17/2020,,,0,0,0,0
Papua New Guinea,2/17/2020,,,0,0,0,0
Fiji,2/17/2020,,,0,0,0,0
Wallis and Futuna,2/17/2020,,,0,,,0
Marshall Islands,2/17/2020,,,0,0,0,0
Fiji,2/18/2020,,,0,0,0,0
Papua New Guinea,2/18/2020,,,0,0,0,0
Marshall Islands,2/18/2020,,,0,0,0,0
Wallis and Futuna,2/18/2020,,,0,,,0
New Zealand,2/18/2020,,,0,0,0,0
Solomon Islands,2/18/2020,,,0,0,0,0
New Caledonia,2/18/2020,,,0,0,0,0
Australia,2/18/2020,,,0,0,15,0
French Polynesia,2/18/2020,,,0,0,0,0
Papua New Guinea,2/19/2020,,,0,0,0,0
French Polynesia,2/19/2020,,,0,0,0,0
Australia,2/19/2020,,,0,0,15,0
Marshall Islands,2/19/2020,,,0,0,0,0
Fiji,2/19/2020,,,0,0,0,0
New Zealand,2/19/2020,,,0,0,0,0
Wallis and Futuna,2/19/2020,,,0,,,0
New Caledonia,2/19/2020,,,0,0,0,0
Solomon Islands,2/19/2020,,,0,0,0,0
Fiji,2/20/2020,,,0,0,0,0
Marshall Islands,2/20/2020,,,0,0,0,0
Solomon Islands,2/20/2020,,,0,0,0,0
Papua New Guinea,2/20/2020,,,0,0,0,0
New Zealand,2/20/2020,,,0,0,0,0
French Polynesia,2/20/2020,,,0,0,0,0
New Caledonia,2/20/2020,,,0,0,0,0
Wallis and Futuna,2/20/2020,,,0,,,0
Australia,2/20/2020,,,0,0,15,0
Fiji,2/21/2020,,,0,0,0,0
Marshall Islands,2/21/2020,,,0,0,0,0
New Caledonia,2/21/2020,,,0,0,0,0
Wallis and Futuna,2/21/2020,,,0,,,0
Solomon Islands,2/21/2020,,,0,0,0,0
French Polynesia,2/21/2020,,,0,0,0,0
Australia,2/21/2020,,,2,0,17,0
Papua New Guinea,2/21/2020,,,0,0,0,0
New Zealand,2/21/2020,,,0,0,0,0
Marshall Islands,2/22/2020,,,0,0,0,0
New Caledonia,2/22/2020,,,0,0,0,0
New Zealand,2/22/2020,,,0,0,0,0
Australia,2/22/2020,,,4,0,21,0
Solomon Islands,2/22/2020,,,0,0,0,0
Fiji,2/22/2020,,,0,0,0,0
French Polynesia,2/22/2020,,,0,0,0,0
Papua New Guinea,2/22/2020,,,0,0,0,0
Wallis and Futuna,2/22/2020,,,0,,,0
Wallis and Futuna,2/23/2020,,,0,,,0
Fiji,2/23/2020,,,0,0,0,0
Australia,2/23/2020,,,1,0,22,0
New Zealand,2/23/2020,,,0,0,0,0
Solomon Islands,2/23/2020,,,0,0,0,0
Marshall Islands,2/23/2020,,,0,0,0,0
Papua New Guinea,2/23/2020,,,0,0,0,0
New Caledonia,2/23/2020,,,0,0,0,0
French Polynesia,2/23/2020,,,0,0,0,0
Papua New Guinea,2/24/2020,,,0,0,0,0
New Zealand,2/24/2020,,,0,0,0,0
Solomon Islands,2/24/2020,,,0,0,0,0
Australia,2/24/2020,,,0,0,22,0
New Caledonia,2/24/2020,,,0,0,0,0
Marshall Islands,2/24/2020,,,0,0,0,0
French Polynesia,2/24/2020,,,0,0,0,0
Fiji,2/24/2020,,,0,0,0,0
Wallis and Futuna,2/24/2020,,,0,,,0
Australia,2/25/2020,,,0,0,22,0
Solomon Islands,2/25/2020,,,0,0,0,0
Wallis and Futuna,2/25/2020,,,0,,,0
French Polynesia,2/25/2020,,,0,0,0,0
Marshall Islands,2/25/2020,,,0,0,0,0
New Zealand,2/25/2020,,,0,0,0,0
New Caledonia,2/25/2020,,,0,0,0,0
Papua New Guinea,2/25/2020,,,0,0,0,0
Fiji,2/25/2020,,,0,0,0,0
Papua New Guinea,2/26/2020,,,0,0,0,0
French Polynesia,2/26/2020,,,0,0,0,0
Australia,2/26/2020,,,0,0,22,0
Solomon Islands,2/26/2020,,,0,0,0,0
New Zealand,2/26/2020,,,0,0,0,0
Marshall Islands,2/26/2020,,,0,0,0,0
Fiji,2/26/2020,,,0,0,0,0
New Caledonia,2/26/2020,,,0,0,0,0
Wallis and Futuna,2/26/2020,,,0,,,0
New Zealand,2/27/2020,,,0,0,0,0
Australia,2/27/2020,,,1,0,23,0
Papua New Guinea,2/27/2020,,,0,0,0,0
Fiji,2/27/2020,,,0,0,0,0
French Polynesia,2/27/2020,,,0,0,0,0
Marshall Islands,2/27/2020,,,0,0,0,0
Solomon Islands,2/27/2020,,,0,0,0,0
New Caledonia,2/27/2020,,,0,0,0,0
Wallis and Futuna,2/27/2020,,,0,,,0
Australia,2/28/2020,,,0,0,23,0
New Zealand,2/28/2020,,,1,0,1,0
Solomon Islands,2/28/2020,,,0,0,0,0
Marshall Islands,2/28/2020,,,0,0,0,0
New Caledonia,2/28/2020,,,0,0,0,0
French Polynesia,2/28/2020,,,0,0,0,0
Fiji,2/28/2020,,,0,0,0,0
Papua New Guinea,2/28/2020,,,0,0,0,0
Wallis and Futuna,2/28/2020,,,0,,,0
French Polynesia,2/29/2020,,,0,0,0,0
Australia,2/29/2020,,,2,0,25,0
New Zealand,2/29/2020,,,0,0,1,0
Fiji,2/29/2020,,,0,0,0,0
New Caledonia,2/29/2020,,,0,0,0,0
Marshall Islands,2/29/2020,,,0,0,0,0
Solomon Islands,2/29/2020,,,0,0,0,0
Wallis and Futuna,2/29/2020,,,0,,,0
Papua New Guinea,2/29/2020,,,0,0,0,0
Marshall Islands,3/1/2020,,,0,0,0,0
Solomon Islands,3/1/2020,,,0,0,0,0
New Caledonia,3/1/2020,,,0,0,0,0
Fiji,3/1/2020,,,0,0,0,0
Wallis and Futuna,3/1/2020,,,0,,,0
New Zealand,3/1/2020,,,0,0,1,0
Papua New Guinea,3/1/2020,,,0,0,0,0
Australia,3/1/2020,,,1,1,26,1
French Polynesia,3/1/2020,,,0,0,0,0
Australia,3/2/2020,,,3,1,29,0
Fiji,3/2/2020,,,0,0,0,0
Solomon Islands,3/2/2020,,,0,0,0,0
New Caledonia,3/2/2020,,,0,0,0,0
French Polynesia,3/2/2020,,,0,0,0,0
New Zealand,3/2/2020,,,0,0,1,0
Papua New Guinea,3/2/2020,,,0,0,0,0
Marshall Islands,3/2/2020,,,0,0,0,0
Wallis and Futuna,3/2/2020,,,0,,,0
Papua New Guinea,3/3/2020,,,0,0,0,0
French Polynesia,3/3/2020,,,0,0,0,0
Fiji,3/3/2020,,,0,0,0,0
New Zealand,3/3/2020,,,0,0,1,0
Australia,3/3/2020,,,4,1,33,0
Solomon Islands,3/3/2020,,,0,0,0,0
Wallis and Futuna,3/3/2020,,,0,,,0
Marshall Islands,3/3/2020,,,0,0,0,0
New Caledonia,3/3/2020,,,0,0,0,0
New Zealand,3/4/2020,,,1,0,2,0
Marshall Islands,3/4/2020,,,0,0,0,0
Papua New Guinea,3/4/2020,,,0,0,0,0
Australia,3/4/2020,,,8,1,41,0
Fiji,3/4/2020,,,0,0,0,0
Solomon Islands,3/4/2020,,,0,0,0,0
New Caledonia,3/4/2020,,,0,0,0,0
Wallis and Futuna,3/4/2020,,,0,,,0
French Polynesia,3/4/2020,,,0,0,0,0
